startId,endId,count
GENE_43740569,GENE_43740575,213
GENE_186,GENE_183,212
GENE_183,GENE_186,212
GENE_4151,GENE_1401,210
GENE_3126,GENE_3125,210
GENE_3125,GENE_3126,210
GENE_1401,GENE_4151,210
GENE_1803,GENE_290,209
GENE_290,GENE_1803,209
GENE_54938,GENE_7113,209
GENE_7113,GENE_54938,209
GENE_59272,GENE_1508,208
GENE_1508,GENE_59272,208
GENE_3821,GENE_925,206
GENE_925,GENE_3821,206
GENE_None,GENE_8673700,206
GENE_3576,GENE_3558,205
GENE_3558,GENE_3576,205
GENE_3605,GENE_3586,205
GENE_3586,GENE_3605,205
GENE_406999,GENE_23411,205
GENE_23411,GENE_406999,205
GENE_116511,GENE_1636,204
GENE_3553,GENE_3552,204
GENE_3552,GENE_3553,204
GENE_9970,GENE_7291,204
GENE_7291,GENE_9970,204
GENE_1636,GENE_116511,204
GENE_3558,GENE_925,203
GENE_59272,GENE_2641,203
GENE_3605,GENE_3552,203
GENE_925,GENE_3558,203
GENE_3552,GENE_3605,203
GENE_2641,GENE_59272,203
GENE_59272,GENE_10332,201
GENE_10332,GENE_59272,201
GENE_None,GENE_43740578,201
GENE_70008,GENE_3630,200
GENE_3630,GENE_70008,200
GENE_284_285_51378_27329,GENE_283,199
GENE_283,GENE_284_285_51378_27329,199
GENE_4591,GENE_920,197
GENE_920,GENE_4591,197
GENE_4283,GENE_3569,196
GENE_3569,GENE_4283,196
GENE_3569,GENE_1956,195
GENE_1956,GENE_3569,195
GENE_7124,GENE_3559,194
GENE_3559,GENE_7124,194
GENE_3569,GENE_1636,193
GENE_124590,GENE_2525,193
GENE_1636,GENE_3569,193
GENE_2525,GENE_124590,193
GENE_284_285_51378_27329,GENE_116511,192
GENE_116511,GENE_284_285_51378_27329,192
GENE_7124,GENE_6352,191
GENE_6352,GENE_7124,191
GENE_7113,GENE_367,190
GENE_3558,GENE_3552,190
GENE_3552,GENE_3558,190
GENE_7124,GENE_3606,190
GENE_367,GENE_7113,190
GENE_3606,GENE_7124,190
GENE_59272,GENE_54938,190
GENE_54938,GENE_59272,190
GENE_3458,GENE_1437,189
GENE_1437,GENE_3458,189
GENE_59272,GENE_4790,189
GENE_4790,GENE_59272,189
GENE_3827,GENE_183,187
GENE_5241,GENE_2099,187
GENE_183,GENE_3827,187
GENE_2099,GENE_5241,187
GENE_3558,GENE_920,186
GENE_22059,GENE_3439,186
GENE_920,GENE_3558,186
GENE_59272,GENE_3627,186
GENE_3439,GENE_22059,186
GENE_3627,GENE_59272,186
GENE_3576,GENE_1401,185
GENE_59272,GENE_1401,185
GENE_7448,GENE_1803,185
GENE_3605,GENE_3458,185
GENE_3586,GENE_3559,185
GENE_1401,GENE_3576,185
GENE_3559,GENE_3586,185
GENE_3458,GENE_3605,185
GENE_1803,GENE_7448,185
GENE_1401,GENE_59272,185
GENE_None,GENE_43740570,185
GENE_2214,GENE_925,184
GENE_925,GENE_2214,184
GENE_3552,GENE_1440,183
GENE_1440,GENE_3552,183
GENE_3815,GENE_847,182
GENE_10045,GENE_3439,182
GENE_847,GENE_3815,182
GENE_3439,GENE_10045,182
GENE_59272,GENE_285,181
GENE_2244,GENE_2147,181
GENE_2147,GENE_2244,181
GENE_4790,GENE_3552,181
GENE_6352,GENE_3627,181
GENE_3552,GENE_4790,181
GENE_3627,GENE_6352,181
GENE_285,GENE_59272,181
GENE_3630,GENE_183,180
GENE_3586,GENE_3439,180
GENE_3439,GENE_3586,180
GENE_183,GENE_3630,180
GENE_2641,GENE_1803,179
GENE_1803,GENE_2641,179
GENE_6347,GENE_1437,178
GENE_1437,GENE_6347,178
GENE_59272,GENE_16668,177
GENE_16668,GENE_59272,177
GENE_1440,GENE_1437,176
GENE_1437,GENE_1440,176
GENE_107653060,GENE_3569,176
GENE_43740575,GENE_5728,176
GENE_5728,GENE_43740575,176
GENE_3569,GENE_107653060,176
GENE_186,GENE_185,175
GENE_185,GENE_186,175
GENE_3557,GENE_3552,175
GENE_3552,GENE_3557,175
GENE_952,GENE_925,174
GENE_925,GENE_952,174
GENE_3569,GENE_1843,174
GENE_1843,GENE_3569,174
GENE_59272,GENE_50528,174
GENE_43740570,GENE_59272,174
GENE_50528,GENE_59272,174
GENE_8673700,GENE_59272,174
GENE_59272,GENE_8673700,174
GENE_59272,GENE_43740570,174
GENE_952,GENE_920,173
GENE_920,GENE_952,173
GENE_116511,GENE_185,172
GENE_185,GENE_116511,172
GENE_3569,GENE_185,170
GENE_185,GENE_3569,170
GENE_6352,GENE_3586,169
GENE_6347,GENE_3605,169
GENE_3605,GENE_6347,169
GENE_3586,GENE_6352,169
GENE_8673700,GENE_10592,169
GENE_10592,GENE_8673700,169
GENE_43740575,GENE_3815,168
GENE_3815,GENE_43740575,168
GENE_3574,GENE_3458,167
GENE_3458,GENE_3574,167
GENE_7099,GENE_7097,167
GENE_7097,GENE_7099,167
GENE_3458,GENE_1401,166
GENE_1401,GENE_3458,166
GENE_3569,GENE_3557,166
GENE_3557,GENE_3569,166
GENE_43740578,GENE_43740569,165
GENE_43740569,GENE_43740578,165
GENE_302668,GENE_183,164
GENE_930,GENE_920,164
GENE_920,GENE_930,164
GENE_6348,GENE_1437,164
GENE_1437,GENE_6348,164
GENE_59272,GENE_11421,164
GENE_11421,GENE_59272,164
GENE_183,GENE_302668,164
GENE_1236,GENE_920,163
GENE_5788,GENE_920,163
GENE_920,GENE_1236,163
GENE_3572,GENE_3570,163
GENE_3570,GENE_3572,163
GENE_920,GENE_5788,163
GENE_70008,GENE_11606,163
GENE_11606,GENE_70008,163
GENE_7113,GENE_3569,161
GENE_3569,GENE_7113,161
GENE_3576,GENE_1440,160
GENE_6347,GENE_3553,160
GENE_1440,GENE_3576,160
GENE_3553,GENE_6347,160
GENE_3127,GENE_3125,159
GENE_3125,GENE_3127,159
GENE_16423,GENE_961,158
GENE_3574,GENE_3552,158
GENE_None,GENE_3569,158
GENE_3552,GENE_3574,158
GENE_3605,GENE_3576,158
GENE_3576,GENE_3605,158
GENE_961,GENE_16423,158
GENE_6352,GENE_6347,157
GENE_6347,GENE_6352,157
GENE_43740571,GENE_8673700,157
GENE_8673700,GENE_43740571,157
GENE_70008,GENE_185,156
GENE_3630,GENE_1401,156
GENE_3576,GENE_3574,156
GENE_3574,GENE_3576,156
GENE_1401,GENE_3630,156
GENE_43740569,GENE_55354,156
GENE_185,GENE_70008,156
GENE_55354,GENE_43740569,156
GENE_3552,GENE_920,155
GENE_4684,GENE_920,155
GENE_3627,GENE_3439,155
GENE_920,GENE_3552,155
GENE_3439,GENE_3627,155
GENE_59272,GENE_4306,155
GENE_920,GENE_4684,155
GENE_4306,GENE_59272,155
GENE_7124,GENE_1956,154
GENE_7124,GENE_3578,154
GENE_1956,GENE_7124,154
GENE_3578,GENE_7124,154
GENE_26503,GENE_2678,153
GENE_2678,GENE_26503,153
GENE_930,GENE_925,151
GENE_925,GENE_930,151
GENE_7099,GENE_3105,151
GENE_9970,GENE_3569,151
GENE_7113,GENE_6391,151
GENE_3105,GENE_7099,151
GENE_6391,GENE_7113,151
GENE_3569,GENE_9970,151
GENE_283,GENE_185,150
GENE_185,GENE_283,150
GENE_4591,GENE_1401,150
GENE_43740568,GENE_3309,150
GENE_6352,GENE_3576,150
GENE_1401,GENE_4591,150
GENE_3576,GENE_6352,150
GENE_23411,GENE_7157,150
GENE_7157,GENE_23411,150
GENE_3309,GENE_43740568,150
GENE_7113,GENE_183,149
GENE_43740568,GENE_3105,149
GENE_183,GENE_7113,149
GENE_3105,GENE_43740568,149
GENE_3552,GENE_925,148
GENE_925,GENE_3552,148
GENE_3565,GENE_3558,148
GENE_3558,GENE_3565,148
GENE_3576,GENE_3565,148
GENE_3565,GENE_3576,148
GENE_7124,GENE_5594,148
GENE_5594,GENE_7124,148
GENE_1636,GENE_186,147
GENE_186,GENE_1636,147
GENE_3717,GENE_3716,147
GENE_3716,GENE_3717,147
GENE_1236,GENE_925,146
GENE_3576,GENE_925,146
GENE_925,GENE_1236,146
GENE_925,GENE_3576,146
GENE_7124,GENE_3630,146
GENE_3630,GENE_7124,146
GENE_3552,GENE_1437,145
GENE_1514,GENE_1508,145
GENE_1508,GENE_1514,145
GENE_1437,GENE_3552,145
GENE_3600,GENE_3569,145
GENE_3569,GENE_3600,145
GENE_3123,GENE_3107,144
GENE_3107,GENE_3123,144
GENE_3552,GENE_3439,144
GENE_3576,GENE_3439,144
GENE_3439,GENE_3552,144
GENE_3605,GENE_3558,144
GENE_3439,GENE_3576,144
GENE_59272,GENE_3586,144
GENE_3558,GENE_3605,144
GENE_3586,GENE_59272,144
GENE_3127,GENE_3126,142
GENE_3126,GENE_3127,142
GENE_284_285_51378_27329,GENE_4311,142
GENE_29126,GENE_5133,142
GENE_59272,GENE_6524,142
GENE_5133,GENE_29126,142
GENE_6524,GENE_59272,142
GENE_4311,GENE_284_285_51378_27329,142
GENE_3627,GENE_3605,141
GENE_3605,GENE_3627,141
GENE_6524,GENE_3630,141
GENE_3630,GENE_6524,141
GENE_13482,GENE_1803,140
GENE_7450,GENE_2157,140
GENE_59272,GENE_3440,140
GENE_2157,GENE_7450,140
GENE_1803,GENE_13482,140
GENE_3440,GENE_59272,140
GENE_3586,GENE_1437,139
GENE_3107,GENE_3106,139
GENE_3106,GENE_3107,139
GENE_16194,GENE_3569,139
GENE_59272,GENE_3576,139
GENE_1437,GENE_3586,139
GENE_3569,GENE_16194,139
GENE_3576,GENE_59272,139
GENE_11980,GENE_3117,138
GENE_3576,GENE_3553,138
GENE_3553,GENE_3576,138
GENE_3117,GENE_11980,138
GENE_4684,GENE_925,137
GENE_6347,GENE_925,137
GENE_3627,GENE_3553,137
GENE_3553,GENE_3627,137
GENE_925,GENE_4684,137
GENE_925,GENE_6347,137
GENE_103231639,GENE_59272,137
GENE_59272,GENE_103231639,137
GENE_5243,GENE_1576,136
GENE_6868,GENE_1636,136
GENE_9564,GENE_1674,136
GENE_3586,GENE_3578,136
GENE_3578,GENE_3586,136
